#for letting users know that Sugimoto et al. genes with zero levels of expression are due to the fact that they aren't on the Qiagen V1.0 oligo array that Sugimoto et al. used (Chatfield et al., 2012; Lookup from 2009-07-29)
AtMg00640	244901_at
AtMg00500	244959_s_at
AtCg01020	244960_at
AtCg01040	244961_at
AtCg01050	244962_at
AtCg00570	244963_at
AtCg00580	244964_at
AtCg00590	244965_at
AtCg00600	244966_at
AtCg00630	244967_at
AtCg00640	244968_at
AtCg00650	244969_at
AtCg00660	244970_at
AtCg00670	244971_at
AtCg00680	244972_at
AtCg00690	244973_at
AtCg00700	244974_at
AtCg00710	244975_at
AtCg00720	244976_at
AtCg00730	244977_at
AtCg00740	244978_at
AtCg00750	244979_at
AtCg00760	244980_at
AtCg00770	244981_at
AtCg00780	244982_at
AtCg00790	244983_at
AtCg00800	244984_at
AtCg00810	244985_at
AtCg00820	244986_at
AtCg00830	244987_s_at
AtCg01310	244987_s_at
AtCg00840	244988_s_at
AtCg01300	244988_s_at
AtCg00860	244989_s_at
AtCg01280	244989_s_at
AtCg00870	244990_s_at
AtCg01270	244990_s_at
AtCg00890	244991_s_at
AtCg01250	244991_s_at
AtCg00900	244992_s_at
AtCg01240	244992_s_at
AtCg01000	244993_s_at
AtCg01130	244993_s_at
AtCg01010	244994_at
AtCg00150	244995_at
AtCg00160	244996_at
AtCg00170	244997_at
AtCg00180	244998_at
AtCg00190	244999_at
AtCg00210	245000_at
AtCg00220	245001_at
AtCg00270	245002_at
AtCg00280	245003_at
AtCg00300	245004_at
AtCg00330	245005_at
AtCg00340	245006_at
AtCg00350	245007_at
AtCg00360	245008_at
AtCg00380	245009_at
AtCg00420	245010_at
AtCg00430	245011_at
AtCg00440	245012_at
AtCg00470	245013_at
AtCg00480	245014_at
AtCg00490	245015_at
AtCg00500	245016_at
AtCg00510	245017_at
AtCg00520	245018_at
AtCg00530	245019_at
AtCg00540	245020_at
AtCg00550	245021_at
AtCg00560	245022_at
AtCg00080	245023_at
AtCg00120	245024_at
AtCg00130	245025_at
AtCg00140	245026_at
At2g26630	245032_at
AtCg00020	245047_at
AtCg00040	245048_at
AtCg00050	245049_at
AtCg00070	245050_at
At2g39790	245058_at
At2g39725	245064_at
At2g23330	245079_at
245081_at	245081_at
At2g40815	245093_at
At2g40935	245097_at
At2g41580	245102_at
At2g45230	245135_at
At2g47550	245151_at
At2g33240	245162_at
At2g47570	245170_at
At1g67760	245185_at
At1g67710	245186_at
At1g67690	245190_at
At1g67720	245202_at
At3g33080	245203_at
245212_at	245212_at
245214_at	245214_at
At1g38340	245217_at
At1g58848	245218_s_at
At1g59218	245218_s_at
At1g58889	245221_s_at
At1g59265	245221_s_at
At3g29787	245222_at
245231_at	245231_at
At1g44510	245240_at
At1g44224	245246_at
At4g17490	245250_at
At4g14150	245259_at
At4g16563	245262_at
At4g17245	245264_at
At4g14400	245265_at
At4g14060	245267_at
At4g14950	245273_at
At4g15210	245275_at
At4g15470	245289_at
At4g16490	245290_at
At4g15093	245292_at
At4g15010	245298_at
At4g17695	245302_at
At4g17215	245305_at
At4g14600	245312_at
At4g16146	245319_at
At4g16444	245320_at
At4g14815	245322_at
At4g14100	245326_at
At4g14465	245328_at
At4g14615	245333_at
At4g16442	245338_at
At4g16447	245341_at
At4g17390	245355_at
At4g14965	245366_at
At4g16265	245367_at
245369_at	245369_at
At4g16840	245370_at
245377_at	245377_at
At4g17785	245381_at
At4g17650	245390_at
At4g17420	245395_at
At4g17040	245400_at
At4g17585	245402_at
At4g17590	245403_at
At4g17310	245414_at
At4g17380	245419_at
At4g17470	245422_at
At4g17483	245423_at
At4g17510	245425_at
At4g17570	245428_at
245432_at	245432_at
245435_at	245435_at
At4g16620	245436_at
245437_at	245437_at
At4g16650	245438_at
At4g16740	245444_at
At4g16820	245447_at
At4g16870	245449_at
At4g16910	245452_at
245459_at	245459_at
At4g16990	245460_at
245464_at	245464_at
At4g16010	245469_at
At4g16020	245469_at
At4g16020	245470_at
245475_at	245475_at
245480_at	245480_at
At4g16180	245482_at
245485_at	245485_at
At4g16240	245486_x_at
245491_at	245491_at
245493_at	245493_at
At4g15590	245500_at
245514_at	245514_at
At4g15860	245519_at
At4g15590	245530_at
245536_at	245536_at
245541_at	245541_at
At4g15260	245543_at
At4g15290	245546_at
At4g15370	245553_at
At4g15410	245557_at
At4g14610	245566_at
At4g14670	245570_at
At4g14695	245571_at
At4g14720	245572_at
245573_at	245573_at
At4g14810	245579_at
At4g14850	245582_at
245603_at	245603_at
At4g14290	245604_at
245606_at	245606_at
At4g14368	245609_at
245613_at	245613_at
At4g14460	245614_at
At4g14470	245615_at
At1g25275	245642_at
245647_at	245647_at
At1g24938	245648_at
At1g24800	245651_s_at
At1g24881	245651_s_at
At1g25055	245651_s_at
At1g25141	245651_s_at
At1g25211	245651_s_at
At4g13985	245653_at
245655_at	245655_at
At1g56620	245656_at
At1g28210	245670_at
At1g56675	245675_at
At4g09146	245675_at
At5g04380	245703_at
At5g04290	245704_at
At5g04390	245705_at
At5g04310	245706_at
At5g04400	245707_at
At5g04310	245708_at
At5g04320	245709_at
At5g04330	245710_at
At5g04360	245712_at
At5g04370	245713_at
At5g04280	245714_at
At5g33390	245717_at
At1g35143	245753_at
At1g33580	245766_at
245771_at	245771_at
At1g35200	245782_at
At1g45545	245798_at
At1g38065	245810_at
At1g38131	245810_at
At1g37537	245811_at
245812_at	245812_at
At1g26100	245818_at
At1g42220	245833_at
At1g42200	245834_at
245843_at	245843_at
At5g28240	245856_at
At5g28270	245857_at
At5g28280	245858_at
At5g28290	245859_at
At5g28310	245860_at
At5g01010	245862_at
245865_at	245865_at
245874_at	245874_at
245916_at	245916_at
At5g28760	245918_at
At5g28780	245919_at
At5g28790	245920_at
At5g28800	245921_at
At5g28820	245923_at
At5g28770	245925_at
At5g19840	245935_at
At5g19850	245936_at
At5g19750	245937_at
At5g19680	245938_at
At5g19630	245940_at
At5g19490	245942_at
At5g19500	245943_at
At5g19520	245944_at
At5g19560	245945_at
At5g19580	245946_at
At5g19540	245948_at
At5g19590	245957_at
At5g19610	245958_at
At5g19640	245959_at
At5g19660	245960_at
At5g19670	245961_at
At5g19700	245962_at
At5g19710	245963_at
At5g19720	245964_at
At5g19730	245965_at
At5g19800	245967_at
At5g19810	245968_at
At5g19830	245969_at
At5g20680	245972_at
At5g32490	245973_at
245974_at	245974_at
At5g20610	245988_at
At5g20640	245990_at
At5g20660	245991_at
At5g20690	245992_at
At5g20700	245993_at
At5g20760	245994_at
At5g20770	245995_at
At5g20800	245996_at
At5g20810	245997_at
At5g20820	246000_at
At5g20790	246001_at
At5g20740	246002_at
At5g08410	246007_at
At5g10695	246018_at
At5g21100	246021_at
At5g21110	246022_at
At5g21130	246024_at
At5g21150	246025_at
At5g21070	246026_at
At5g21060	246027_at
246032_s_at	246032_s_at
At5g19420	246037_at
At5g19460	246038_s_at
At5g19470	246038_s_at
At5g19480	246039_at
At5g19290	246041_at
At5g19380	246043_at
At5g28860	246046_at
At5g28870	246047_at
At5g28880	246048_at
At5g28890	246049_at
At5g28840	246051_at
At5g08360	246054_at
At5g19330	246062_at
At5g19340	246063_at
At5g19350	246064_at
At5g19360	246065_at
At5g19400	246066_at
At5g19410	246067_at
At5g20290	246068_at
At5g20220	246069_at
At5g20180	246073_at
At5g20130	246074_at
At5g20420	246077_at
At5g20430	246078_s_at
At5g20440	246078_s_at
At5g20450	246079_at
At5g20460	246080_at
At5g20470	246081_s_at
At5g20490	246081_s_at
At5g20480	246082_at
246083_at	246083_at
246084_at	246084_at
At5g20540	246085_at
At5g20560	246086_at
At5g20580	246087_at
At5g20600	246088_at
At5g20520	246090_at
At5g20590	246091_at
At5g20550	246093_at
At5g19300	246094_at
At5g19310	246095_at
At5g20270	246097_at
At5g20400	246098_at
246100_at	246100_at
246101_at	246101_at
At5g32590	246102_at
At5g28640	246103_at
At5g28650	246104_at
At5g28670	246105_at
At5g28680	246106_at
At5g28700	246107_at
At5g28630	246108_at
At5g20120	246109_at
At5g20140	246110_at
At5g20170	246111_at
At5g20200	246112_at
246113_at	246113_at
At5g20300	246115_at
At5g20310	246116_at
At5g20320	246117_at
At5g20360	246120_at
At5g20370	246121_at
At5g20380	246122_at
At5g20390	246123_at
At5g20060	246124_at
At5g19875	246125_at
246127_s_at	246127_s_at
At5g32540	246128_at
246129_at	246129_at
At5g32540	246130_at
At5g20885	246135_at
At5g28470	246136_at
At5g28490	246137_at
At5g19870	246138_at
At5g19910	246140_at
At5g19920	246141_at
At5g19970	246142_at
At5g19980	246143_at
At5g20110	246144_at
At5g19880	246145_at
At5g19960	246148_at
At5g19930	246150_at
At5g19950	246151_at
At5g19940	246154_at
At5g20030	246155_at
At5g20080	246157_at
At5g19855	246158_at
At5g20935	246159_at
At5g32600	246163_at
At5g32610	246164_at
246165_at	246165_at
246166_at	246166_at
246167_at	246167_at
At5g32460	246168_at
At5g32470	246169_at
At5g32450	246170_at
At5g28340	246174_s_at
At5g28380	246174_s_at
At5g28410	246176_at
At5g28420	246177_at
At5g28440	246179_at
At5g20840	246180_at
At5g20860	246181_at
At5g20870	246182_at
At5g20940	246183_at
At5g20950	246184_at
At5g20980	246185_at
246186_at	246186_at
246187_at	246187_at
At5g21050	246188_at
At5g20880	246193_at
246206_at	246206_at
At4g36800	246218_at
246243_at	246243_at
At3g51760	246297_at
At1g51915	246349_at
246352_at	246352_at
At1g39190	246353_s_at
At3g42721	246353_s_at
At4g08010	246353_s_at
At1g38950	246354_at
246355_at	246355_at
At1g40150	246356_x_at
246357_x_at	246357_x_at
246358_x_at	246358_x_at
At1g41115	246359_x_at
At1g41600	246359_x_at
At1g41630	246359_x_at
At1g41660	246359_x_at
At1g41690	246359_x_at
246360_at	246360_at
At1g41115	246361_s_at
At1g41600	246361_s_at
At1g41630	246361_s_at
At1g41660	246361_s_at
246362_at	246362_at
At1g40390	246363_at
At1g40230	246364_at
At1g39750	246365_at
At1g51920	246370_at
At1g51860	246373_at
At1g51840	246374_at
At1g51830	246375_at
246380_at	246380_at
At1g39430	246381_at
At1g39350	246382_at
246410_at	246410_at
At5g16990	246417_at
At5g16800	246448_at
At5g16710	246454_at
At5g16970	246463_at
At5g16980	246464_at
246465_at	246465_at
At5g17010	246466_at
At5g17040	246467_at
At5g16190	246494_at
At5g15725	246530_at
At5g15581	246563_at
246571_at	246571_at
At5g14830	246587_at
246588_at	246588_at
At5g14930	246600_at
246604_at	246604_at
At5g35340	246605_at
246606_at	246606_at
246610_at	246610_at
At5g35420	246615_at
At5g36230	246621_at
At5g34850	246636_at
At5g34870	246637_at
At5g34880	246638_at
At5g34895	246639_x_at
At5g34883	246641_s_at
At5g34885	246641_s_at
At5g34908	246641_s_at
At5g34920	246642_s_at
At5g59620	246642_s_at
At5g35130	246647_at
At5g35140	246648_at
At5g35150	246649_at
At5g35240	246656_at
At5g35250	246657_at
At5g35280	246661_at
At5g35290	246662_at
At5g35300	246663_at
At5g34800	246664_at
At4g04140	246665_s_at
At5g34820	246665_s_at
At5g34830	246666_at
At5g34840	246667_at
246668_at	246668_at
At5g30500	246669_at
At5g30520	246670_at
At5g30450	246671_at
At5g30470	246672_at
At5g30490	246674_at
At5g30420	246675_at
At5g30440	246676_at
At5g30380	246677_at
At5g33200	246678_at
At5g33240	246679_at
246680_at	246680_at
At5g33280	246681_at
At5g33300	246683_at
At5g33340	246684_at
At5g33350	246685_at
At5g33380	246686_at
At5g33370	246687_at
At5g34450	246688_at
At5g34460	246689_at
246690_at	246690_at
At5g34790	246691_at
246692_at	246692_at
At5g29070	246693_at
246694_at	246694_at
At5g29090	246695_at
At5g29100	246696_at
At5g29210	246697_at
At5g30480	246698_at
At5g27990	246699_at
At5g28030	246700_at
At5g28080	246703_at
At5g28090	246704_at
At5g28110	246705_x_at
At5g28120	246705_x_at
At5g28130	246706_at
At5g28140	246707_at
At5g28150	246708_at
At5g28160	246709_s_at
At5g28180	246709_s_at
At5g28170	246710_at
At5g28190	246711_at
246712_at	246712_at
At5g28230	246715_at
At5g28910	246716_s_at
At5g28960	246716_s_at
At5g28930	246718_at
At5g28940	246719_at
At5g28950	246720_at
246721_at	246721_at
At5g29020	246722_at
At5g29030	246723_at
At5g29040	246725_at
At5g29050	246726_at
At5g28010	246727_at
At5g28040	246728_at
At5g28070	246729_at
At5g27630	246731_at
At5g27650	246732_at
At5g27660	246733_at
At5g27710	246737_at
At5g27740	246738_at
At5g27800	246739_at
At5g27810	246740_at
At5g27720	246741_at
At5g27750	246743_at
At5g27760	246744_at
At5g27820	246746_at
At5g27700	246747_at
246750_at	246750_at
At5g27870	246751_at
246752_at	246752_at
246753_at	246753_at
At5g27910	246754_at
At5g27920	246755_at
At5g27930	246756_at
At5g27940	246757_at
At5g27950	246759_at
At5g27970	246760_at
At5g27980	246761_at
At5g27620	246762_at
At5g27340	246766_at
At5g27395	246767_at
At5g27400	246768_at
At5g27440	246769_at
At5g27460	246770_at
246771_at	246771_at
At5g27490	246772_at
At5g27510	246773_at
At5g27530	246774_at
At5g27550	246776_at
At5g27420	246777_at
At5g27520	246779_at
At5g27320	246782_at
At5g27570	246787_s_at
At5g27945	246787_s_at
At5g27580	246788_at
At5g27610	246790_at
At5g26770	246796_at
At5g26790	246797_at
At5g26940	246799_at
246804_at	246804_at
At5g27050	246805_at
At5g27170	246811_at
At1g43205	246812_at
At4g07523	246812_at
At5g27180	246812_at
At5g27190	246813_at
At5g27240	246817_at
At5g26900	246819_at
At5g26920	246821_at
At5g26960	246822_at
At5g26970	246823_at
At5g26350	246828_at
At5g26600	246832_at
At5g26620	246833_at
At5g26630	246834_at
At5g26640	246835_at
246837_at	246837_at
At5g26720	246839_at
At5g26820	246847_at
At5g26840	246848_at
At5g26890	246853_at
At5g25840	246860_at
At5g25760	246862_at
At5g26020	246869_at
At5g26070	246871_at
At5g26080	246872_at
At5g26100	246873_at
At5g26180	246882_at
At5g26190	246883_at
At5g26230	246885_at
At5g26270	246888_at
At5g25410	246890_at
At5g25490	246891_at
At5g25500	246892_at
At5g25520	246893_at
At5g25530	246894_at
At5g25540	246895_at
At5g25550	246896_at
At5g25560	246897_at
At5g25580	246898_at
At5g25590	246899_at
At5g25620	246900_at
At5g25630	246901_at
At5g25640	246902_at
At5g25750	246903_at
At5g25480	246904_at
At5g25570	246905_at
At5g25475	246906_at
At5g25510	246907_at
At5g25770	246909_at
At5g25800	246910_at
At5g25820	246912_at
At5g25830	246913_at
At5g25860	246914_at
At5g25280	246917_at
At5g25090	246920_at
At5g25110	246922_at
At5g25180	246925_at
At5g25240	246926_at
At5g25250	246927_s_at
At5g25260	246927_s_at
At5g25210	246929_at
At5g25170	246931_at
At5g25290	246934_at
At5g25350	246935_at
At5g25360	246936_at
At5g25370	246937_at
At5g25390	246939_at
At5g25400	246940_at
At5g25415	246941_at
At5g25430	246942_at
At5g25440	246943_at
At5g25450	246944_at
At5g25050	246945_s_at
At5g25070	246946_at
At5g25140	246949_at
246950_at	246950_at
At5g04880	246951_at
At5g24820	246963_at
At5g24830	246964_at
At5g24840	246965_at
At5g24850	246966_at
At5g24870	246968_at
At5g24880	246969_at
At5g24900	246970_at
At5g24940	246971_at
At5g24950	246972_s_at
At5g24960	246972_s_at
At5g24970	246973_at
246974_at	246974_at
At5g24890	246975_at
At5g24910	246978_at
At5g67490	247006_at
At5g66985	247024_at
At5g66815	247070_at
At5g66370	247090_at
At5g66550	247102_at
At5g66040	247107_at
At5g65830	247110_at
At5g65880	247111_at
At5g65810	247161_at
At5g65685	247163_at
At5g65205	247178_at
At5g64905	247215_at
At5g65090	247225_at
At5g64240	247282_at
247294_at	247294_at
At5g63880	247302_at
At5g63905	247305_at
247311_at	247311_at
At5g64120	247327_at
At5g63135	247375_at
247379_at	247379_at
247387_at	247387_at
At5g62950	247398_at
247413_at	247413_at
At5g62620	247429_at
At5g62575	247434_at
At5g62000	247468_at
At5g62330	247476_at
At5g61830	247489_at
At5g61880	247491_at
At5g61940	247502_at
At5g62000	247508_at
At5g61605	247546_at
At5g61070	247559_at
At5g61090	247560_at
At5g61220	247572_at
At5g60930	247603_at
At5g60240	247614_at
At5g60260	247616_at
At5g60290	247619_at
At5g60310	247620_at
At5g60400	247628_at
At5g60410	247629_at
At5g60410	247630_at
At5g60540	247641_at
At5g59980	247676_at
At5g59420	247677_at
At5g59640	247681_at
At5g59780	247696_at
At5g59860	247700_at
At5g59510	247704_at
At5g59330	247713_at
At5g59305	247719_at
247728_at	247728_at
At5g59440	247735_at
At5g58920	247748_at
At5g59060	247752_at
247757_at	247757_at
At5g59160	247761_at
247765_at	247765_at
At5g58910	247769_at
At5g58630	247773_at
At5g58690	247775_at
At5g58790	247782_at
At5g58810	247784_at
At5g58650	247793_at
At5g58782	247796_at
At5g58560	247801_at
247803_at	247803_at
At5g58270	247806_at
At5g58375	247817_at
At5g57815	247865_at
At5g57785	247882_at
At5g58003	247894_at
At5g57345	247899_at
At5g57250	247952_at
At5g56830	247976_at
At5g56520	247992_at
At5g56160	247995_at
248053_at	248053_at
248064_at	248064_at
248083_at	248083_at
At5g55290	248098_at
At5g55100	248106_at
At5g55190	248107_at
At5g55000	248117_at
248143_at	248143_at
At5g54855	248149_at
At5g54095	248194_at
248196_at	248196_at
248226_at	248226_at
248278_at	248278_at
At5g52975	248284_at
248290_at	248290_at
248320_at	248320_at
248324_at	248324_at
248325_at	248325_at
At5g52300	248352_at
At5g52340	248355_at
At5g52470	248362_at
At5g51710	248375_at
At5g51410	248403_at
At5g51460	248404_at
At5g51545	248409_at
At5g51620	248415_at
248436_at	248436_at
248437_at	248437_at
At5g51320	248444_at
At5g51290	248450_at
At5g50915	248460_at
At5g51200	248465_at
At5g50840	248471_at
At5g50810	248473_at
248482_at	248482_at
At5g50940	248490_at
At5g50335	248509_at
At5g50315	248510_at
At5g50460	248512_at
248522_at	248522_at
At5g49940	248532_at
248542_at	248542_at
248544_at	248544_at
248546_at	248546_at
At5g49750	248567_at
At5g49790	248571_at
At5g49440	248609_at
At5g49555	248613_at
At5g49590	248617_at
At5g49350	248621_at
At5g49000	248631_at
248633_at	248633_at
248636_at	248636_at
At5g48740	248670_at
At5g48900	248681_at
At5g48485	248684_at
At5g48400	248700_at
At5g48175	248717_at
248733_at	248733_at
248743_at	248743_at
248745_at	248745_at
248755_at	248755_at
At5g47635	248761_at
At5g47455	248762_at
At5g47730	248769_at
At5g47340	248782_at
At5g47420	248787_at
At5g47200	248792_at
At5g47435	248802_at
At5g47500	248807_at
At5g47080	248826_at
At5g46520	248848_at
At5g46795	248872_at
At5g46030	248884_at
At5g46115	248887_at
At5g46295	248904_at
At5g44930	248976_at
At5g45240	248993_at
At5g44710	249014_at
At5g44920	249033_at
At5g43745	249090_at
At5g43800	249114_at
At5g43822	249116_at
249135_at	249135_at
At5g43270	249144_at
At5g43510	249157_at
At5g43513	249157_at
At5g43518	249157_at
At5g42660	249160_at
At5g42790	249161_at
At5g42765	249162_at
At5g42955	249179_at
At5g42180	249227_at
249249_at	249249_at
249254_at	249254_at
At5g41710	249261_at
249280_at	249280_at
249294_at	249294_at
249300_at	249300_at
At5g41240	249317_at
At5g40920	249321_at
249348_at	249348_at
At5g40500	249355_at
At5g40750	249371_at
At5g40730	249375_at
At5g40050	249382_at
At5g40070	249387_at
At5g40130	249390_at
At5g40180	249394_at
At5g40290	249399_at
At5g40155	249402_at
At5g39660	249415_at
At5g39940	249433_at
At5g39390	249446_at
At5g39510	249453_at
At5g39070	249488_at
At5g39130	249491_at
249492_at	249492_at
At5g39230	249498_at
At5g38870	249505_at
At5g38380	249508_at
At5g38720	249528_at
At5g38750	249530_at
At5g38770	249531_at
249539_at	249539_at
At5g38035	249543_at
At5g38180	249549_at
At5g38195	249556_at
At5g38280	249557_at
At5g38330	249560_at
At5g37960	249597_at
At5g37210	249603_at
249605_at	249605_at
At5g37260	249606_at
249609_at	249609_at
At5g36840	249634_at
At5g36900	249637_at
At5g36990	249643_at
At5g36910	249645_at
At5g37030	249646_at
At5g37050	249648_at
At5g37110	249655_at
At5g37130	249656_at
At5g36650	249661_x_at
At5g36660	249663_s_at
At5g36737	249663_s_at
At5g36722	249664_at
At5g36810	249664_at
249667_at	249667_at
At5g35880	249669_at
At1g35080	249681_s_at
At5g36070	249681_s_at
249685_at	249685_at
At5g35800	249695_at
At5g35820	249696_at
At5g35660	249708_at
At5g35680	249711_at
At5g35620	249712_at
249713_at	249713_at
At5g35710	249714_at
At5g35760	249715_at
At5g24655	249721_at
At5g24550	249744_at
249749_at	249749_at
At5g24313	249756_at
At5g24316	249757_at
At5g24310	249786_at
At5g23405	249839_at
249844_at	249844_at
At5g22840	249859_at
At5g22875	249861_at
At5g22830	249864_at
At5g23090	249878_at
At5g22555	249893_at
At5g19240	249918_at
At5g19250	249919_at
At5g19260	249920_at
At5g19270	249921_at
At5g22300	249942_at
At5g19170	249946_at
At5g19200	249947_at
At5g19210	249948_at
At5g18880	249949_at
At5g18910	249950_at
At5g18930	249951_at
At5g18950	249952_at
At5g18920	249954_at
At5g18840	249955_at
At5g18940	249956_at
At5g18970	249958_at
At5g18800	249959_at
At5g18770	249961_at
At5g18990	249962_at
249963_at	249963_at
At5g19010	249964_at
At5g19020	249965_at
At5g19030	249966_at
At5g19070	249968_at
At5g19090	249969_at
At5g19100	249970_at
At5g19110	249971_at
At5g19130	249973_at
At5g18780	249974_at
At5g18820	249977_at
At5g18850	249978_at
At5g18860	249979_s_at
At5g18890	249979_s_at
At5g18870	249980_at
At5g18510	249981_at
At5g18520	249982_at
At5g18400	249984_at
At5g18500	249985_at
At5g18460	249986_at
At5g18490	249987_at
At5g18310	249988_at
At5g18525	249989_at
At5g18540	249990_at
At5g18550	249991_at
At5g18560	249992_at
At5g18570	249993_at
At5g18590	249994_at
At5g18610	249995_at
At5g18600	249996_at
At5g18640	249999_at
At5g18650	250000_at
At5g18680	250001_at
At5g18690	250002_at
At5g18710	250003_at
At5g18750	250004_at
At5g18760	250005_at
At5g18660	250006_at
At5g18440	250009_at
At5g18450	250010_at
At5g18475	250011_at
At5g18340	250036_at
At5g18350	250037_at
At5g18360	250038_at
At5g18370	250039_at
At5g18410	250041_at
At5g18420	250042_at
At5g18430	250043_at
At5g17840	250057_at
At5g17340	250091_at
250101_at	250101_at
At5g16505	250134_at
250163_at	250163_at
At5g14380	250174_at
At5g14270	250191_at
At5g14105	250225_at
At5g13000	250272_at
250282_at	250282_at
At5g13380	250294_at
At5g12840	250320_at
At5g12030	250351_at
At5g10440	250431_at
At5g10540	250441_at
At5g09990	250485_at
At5g09995	250512_at
At5g08535	250536_at
At5g08565	250537_at
At5g08270	250542_at
At5g07840	250557_at
At5g07842	250557_at
At5g07740	250592_at
At5g07740	250593_at
At5g07230	250619_at
250626_at	250626_at
At5g07380	250628_at
At5g06260	250675_at
At5g06320	250676_at
250681_at	250681_at
At5g06265	250704_at
At5g03905	250866_at
250887_at	250887_at
At5g03720	250910_at
At5g03345	250922_at
250950_at	250950_at
250964_at	250964_at
At5g02690	251003_at
At5g02170	251023_at
At5g02180	251024_at
At2g13910	251045_s_at
At5g02360	251045_s_at
At5g01490	251053_at
At5g01750	251073_at
At1g30784	251127_at
At5g01080	251127_at
At5g01075	251141_at
At5g01015	251142_at
At3g63060	251156_at
251204_at	251204_at
At3g62480	251212_at
At3g62520	251216_at
At4g27597	251216_at
At3g62560	251217_at
251230_at	251230_at
At3g62800	251233_at
At3g62860	251235_at
At3g62060	251244_at
At3g61890	251272_at
At3g61390	251334_at
251348_at	251348_at
At3g61160	251358_at
At3g60910	251391_at
At3g60245	251409_at
At3g60370	251414_at
251417_at	251417_at
251435_at	251435_at
At3g59845	251448_at
At3g59920	251449_at
At3g60170	251458_at
251461_at	251461_at
251470_at	251470_at
251471_at	251471_at
At3g59760	251487_at
At3g58975	251523_at
At3g58510	251534_at
251548_at	251548_at
At3g58700	251552_at
At3g58710	251553_at
At3g58390	251572_at
At3g58090	251588_at
At3g57820	251604_at
251618_at	251618_at
At3g58060	251620_at
At3g57790	251645_at
251655_at	251655_at
At3g57160	251660_at
251696_at	251696_at
At3g56280	251726_at
251765_at	251765_at
At3g55300	251779_at
At3g55600	251809_at
At3g54680	251859_at
At3g54920	251864_at
At3g53960	251916_at
At3g53130	251969_at
252015_at	252015_at
At3g53060	252020_at
At3g52150	252032_at
At3g52570	252051_at
252088_at	252088_at
At3g51110	252100_at
At3g51300	252101_at
At3g50980	252137_at
252152_at	252152_at
252156_at	252156_at
At3g50685	252181_at
252186_at	252186_at
At3g50295	252201_at
At3g49845	252222_at
252225_at	252225_at
At3g49725	252246_at
At3g49300	252253_at
At3g49060	252298_at
At3g49162	252301_at
At3g48650	252346_at
At3g48130	252347_at
At3g48185	252352_at
At3g48370	252356_at
At3g48490	252361_at
At3g48450	252364_at
At3g48420	252366_at
252369_at	252369_at
252370_at	252370_at
At3g47570	252378_at
At3g47740	252380_at
At3g47750	252381_s_at
At3g47760	252381_s_at
At3g47770	252382_at
252384_at	252384_at
252393_at	252393_at
At3g47295	252412_at
At1g23920	252434_s_at
At1g36090	252434_s_at
At3g47310	252434_s_at
At4g09380	252434_s_at
At4g28970	252434_s_at
At5g44416	252434_s_at
At2g23720	252435_at
At3g47320	252435_at
At4g09380	252435_at
At4g28970	252435_at
At5g37385	252435_at
At5g44416	252435_at
At3g47240	252461_at
At1g32830	252466_x_at
At3g47270	252466_x_at
252476_at	252476_at
At3g46700	252488_at
At3g46390	252522_at
At3g46480	252526_at
252547_at	252547_at
252597_at	252597_at
At3g45380	252598_at
At3g45050	252603_at
